full_ID,set,manipulation,face_n,artificial,race_guess,race_ba,race_ea,race_hl,race_me,race_na,race_pi,race_se,race_sa,race_wc,prot_ba_n,prot_ba_m,prot_ba_sd,prot_ba_mdn,prot_ba_min,prot_ba_max,prot_ea_n,prot_ea_m,prot_ea_sd,prot_ea_mdn,prot_ea_min,prot_ea_max,prot_hl_n,prot_hl_m,prot_hl_sd,prot_hl_mdn,prot_hl_min,prot_hl_max,prot_me_n,prot_me_m,prot_me_sd,prot_me_mdn,prot_me_min,prot_me_max,prot_na_n,prot_na_m,prot_na_sd,prot_na_mdn,prot_na_min,prot_na_max,prot_pi_n,prot_pi_m,prot_pi_sd,prot_pi_mdn,prot_pi_min,prot_pi_max,prot_se_n,prot_se_m,prot_se_sd, prot_se_mdn ,prot_se_min,prot_se_max,prot_sa_n,prot_sa_m,prot_sa_sd,prot_sa_mdn,prot_sa_min,prot_sa_max,prot_wc_n,prot_wc_m,prot_wc_sd,prot_wc_mdn,prot_wc_min,prot_wc_max,age_m,age_sd,age_mdn,age_n,age_min,age_max,gender_fem,attract_m,attract_sd,attract_mdn,attract_n,attract_min,attract_max,happy_m,happy_sd,happy_mdn,happy_n,happy_min,happy_max
13372-49,13372,49,51,0.000,White,0.000,0.000,0.098,0.118,0.020,0.020,0.000,0.020,0.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,47.400,29.585,30.0,23,84,6,50.333,27.933,50.0,6,85,1,81.000,NA,81.0,81,81,1,50.000,NA,50.0,50,50,NA,NA,NA, NA ,NA,NA,1,50.000,NA,50.0,50,50,47,81.660,15.332,87.0,51,100,37.314,5.673,36.0,51,23,50,1.000,5.255,0.977,5.0,51.000,3,7,4.490,1.007,5.0,51,2,6
13372-533,13372,533,55,0.118,Black,0.618,0.000,0.236,0.200,0.036,0.091,0.000,0.273,0.036,34,59.324,22.982,53.5,15,100,NA,NA,NA,NA,NA,NA,13,49.308,20.806,50.0,20,88,11,57.182,25.019,52.0,24,100,2,67.500,19.092,67.5,54,81,5,58.000,23.249,51.0,34,85,NA,NA,NA, NA ,NA,NA,15,65.533,16.932,67.0,29,90,2,21.500,2.121,21.5,20,23,39.218,5.587,38.0,55,25,50,1.000,4.855,1.407,5.0,55.000,1,7,4.255,0.985,4.0,55,1,6
13372-1119,13372,1119,53,0.133,Multiple,0.132,0.000,0.453,0.358,0.057,0.075,0.000,0.094,0.358,7,29.286,15.660,30.0,5,50,NA,NA,NA,NA,NA,NA,24,56.167,20.030,61.0,18,89,19,71.211,20.411,72.0,45,100,3,24.667,4.509,25.0,20,29,4,49.250,23.768,53.0,20,71,NA,NA,NA, NA ,NA,NA,5,63.000,9.327,62.0,50,75,19,54.158,20.288,50.0,15,82,34.943,5.593,35.0,53,20,45,1.000,5.226,1.235,5.0,53.000,2,7,4.679,0.956,5.0,53,2,7
13437-27,13437,27,50,0.267,White,0.120,0.000,0.120,0.000,0.040,0.000,0.000,0.000,0.940,6,40.167,15.728,45.0,12,54,NA,NA,NA,NA,NA,NA,6,50.000,25.243,57.5,11,78,NA,NA,NA,NA,NA,NA,2,87.000,12.728,87.0,78,96,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,47,80.681,16.781,86.0,48,100,26.560,3.850,25.5,50,18,35,0.000,4.780,1.183,5.0,50.000,1,7,5.660,0.798,6.0,50,4,7
13437-28,13437,28,52,0.200,Black,0.846,0.000,0.231,0.058,0.019,0.019,0.019,0.000,0.135,44,75.909,18.581,78.0,32,100,NA,NA,NA,NA,NA,NA,12,62.583,11.421,65.5,38,82,3,54.667,15.503,55.0,39,70,1,20.000,NA,20.0,20,20,1,40.000,NA,40.0,40,40,1,21.000,NA, 21.0 ,21,21,NA,NA,NA,NA,NA,NA,7,30.571,12.150,30.0,10,45,25.462,3.415,25.0,52,19,39,0.000,5.288,1.126,5.0,52.000,3,7,5.615,0.889,5.5,52,4,7
13437-1106,13437,1106,55,0.278,Hispanic,0.091,0.018,0.727,0.145,0.000,0.018,0.018,0.036,0.200,5,53.800,10.710,51.0,41,70,1,60.000,NA,60.0,60,60,40,76.975,16.121,80.0,42,100,8,56.625,27.537,55.0,10,95,NA,NA,NA,NA,NA,NA,1,80.000,NA,80.0,80,80,1,60.000,NA, 60.0 ,60,60,2,32.500,24.749,32.5,15,50,11,48.273,14.575,50.0,25,75,23.818,3.037,24.0,55,18,30,0.018,4.564,1.398,5.0,55.000,1,7,5.618,1.027,6.0,55,1,7
13437-10830,13437,10830,51,0.286,Multiple,0.510,0.000,0.412,0.196,0.020,0.039,0.000,0.039,0.294,26,54.769,21.127,50.5,11,95,NA,NA,NA,NA,NA,NA,21,55.571,23.807,58.0,13,100,10,58.000,18.547,61.0,30,86,1,34.000,NA,34.0,34,34,2,55.000,7.071,55.0,50,60,NA,NA,NA, NA ,NA,NA,2,58.000,11.314,58.0,50,66,15,46.467,14.980,50.0,19,72,25.000,3.888,25.0,51,18,35,0.020,4.941,1.406,5.0,51.000,1,7,5.647,1.036,6.0,51,3,7
13437-13437,13437,13437,53,0.067,Black,0.981,0.000,0.019,0.038,0.000,0.038,0.000,0.019,0.038,52,84.327,17.887,89.5,21,100,NA,NA,NA,NA,NA,NA,1,82.000,NA,82.0,82,82,2,23.000,4.243,23.0,20,26,NA,NA,NA,NA,NA,NA,2,70.000,28.284,70.0,50,90,NA,NA,NA, NA ,NA,NA,1,50.000,NA,50.0,50,50,2,19.500,10.607,19.5,12,27,27.358,5.103,26.0,53,18,45,0.000,4.830,1.528,5.0,53.000,1,7,5.472,0.775,5.0,53,3,7
13553-28,13553,28,50,0.067,Black,0.880,0.000,0.140,0.020,0.020,0.040,0.020,0.020,0.280,44,73.250,19.119,76.0,34,100,NA,NA,NA,NA,NA,NA,7,56.286,15.924,60.0,27,80,1,35.000,NA,35.0,35,35,1,55.000,NA,55.0,55,55,2,38.500,12.021,38.5,30,47,1,30.000,NA, 30.0 ,30,30,1,15.000,NA,15.0,15,15,14,33.571,26.613,27.5,1,74,36.600,5.525,36.5,50,27,50,1.000,5.400,1.010,5.5,50.000,3,7,5.240,1.001,5.0,50,3,7
13553-1188,13553,1188,52,0.200,White,0.231,0.000,0.135,0.000,0.000,0.019,0.000,0.000,0.923,12,28.667,17.448,29.0,3,71,NA,NA,NA,NA,NA,NA,7,49.429,18.247,51.0,19,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90.000,NA,90.0,90,90,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,48,77.563,21.163,81.5,11,100,29.962,5.502,30.0,52,19,44,0.981,4.654,1.385,5.0,52.000,1,7,5.212,1.126,5.0,52,3,7
