full_ID,set,manipulation,face_n,artificial,race_guess,race_ba,race_ea,race_hl,race_me,race_na,race_pi,race_se,race_sa,race_wc,prot_ba_n,prot_ba_m,prot_ba_sd,prot_ba_mdn,prot_ba_min,prot_ba_max,prot_ea_n,prot_ea_m,prot_ea_sd,prot_ea_mdn,prot_ea_min,prot_ea_max,prot_hl_n,prot_hl_m,prot_hl_sd,prot_hl_mdn,prot_hl_min,prot_hl_max,prot_me_n,prot_me_m,prot_me_sd,prot_me_mdn,prot_me_min,prot_me_max,prot_na_n,prot_na_m,prot_na_sd,prot_na_mdn,prot_na_min,prot_na_max,prot_pi_n,prot_pi_m,prot_pi_sd,prot_pi_mdn,prot_pi_min,prot_pi_max,prot_se_n,prot_se_m,prot_se_sd, prot_se_mdn ,prot_se_min,prot_se_max,prot_sa_n,prot_sa_m,prot_sa_sd,prot_sa_mdn,prot_sa_min,prot_sa_max,prot_wc_n,prot_wc_m,prot_wc_sd,prot_wc_mdn,prot_wc_min,prot_wc_max,age_m,age_sd,age_mdn,age_n,age_min,age_max,gender_fem,attract_m,attract_sd,attract_mdn,attract_n,attract_min,attract_max,happy_m,happy_sd,happy_mdn,happy_n,happy_min,happy_max
19048-1099,19048,1099,51,0.063,White,0.020,0.000,0.294,0.176,0.020,0.039,0.000,0.039,0.725,1,40.000,NA,40.0,40,40,NA,NA,NA,NA,NA,NA,15,65.733,18.779,60.0,40,100,9,50.889,31.652,52.0,10,100,1,90.000,NA,90.0,90,90,2,58.000,11.314,58.0,50,66,NA,NA,NA, NA ,NA,NA,2,64.500,4.950,64.5,61,68,37,73.649,19.130,76.0,39,100,26.412,2.765,26.0,51,21,33,0.020,4.902,1.221,5.0,51.000,1,7,5.020,1.104,5.0,51,2,7
19048-1250,19048,1250,50,0.125,Hispanic,0.400,0.020,0.520,0.100,0.040,0.040,0.020,0.040,0.460,20,48.450,17.434,50.0,18,75,1,25.000,NA,25.0,25,25,26,68.231,21.375,69.5,14,100,5,57.400,7.987,55.0,50,70,2,67.000,21.213,67.0,52,82,2,59.000,8.485,59.0,53,65,1,6.000,NA, 6.0 ,6,6,2,59.000,15.556,59.0,48,70,23,43.609,22.144,49.0,10,100,28.300,4.437,28.0,50,18,39,0.000,4.820,1.190,5.0,50.000,1,7,4.800,0.904,5.0,50,3,6
19048-1407,19048,1407,51,0.125,Black,0.569,0.000,0.216,0.255,0.020,0.059,0.000,0.216,0.078,29,65.621,19.951,64.0,15,100,NA,NA,NA,NA,NA,NA,11,61.364,22.752,66.0,25,100,13,70.308,21.554,70.0,40,100,1,15.000,NA,15.0,15,15,3,29.000,18.520,22.0,15,50,NA,NA,NA, NA ,NA,NA,11,64.545,26.961,55.0,20,100,4,40.000,16.833,47.5,15,50,34.294,5.804,34.0,51,24,45,0.000,5.078,1.181,5.0,51.000,2,7,4.902,0.855,5.0,51,3,6
19048-2784,19048,2784,53,0.125,White,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,53,93.415,9.883,97.0,50,100,27.132,3.584,27.0,53,18,37,0.000,4.906,1.244,5.0,53.000,1,7,4.943,0.864,5.0,53,3,7
19048-3167,19048,3167,54,0.000,White,0.259,0.000,0.352,0.185,0.019,0.019,0.000,0.037,0.630,14,42.643,19.230,42.5,10,83,NA,NA,NA,NA,NA,NA,19,53.789,24.798,53.0,13,100,10,48.000,17.994,53.5,15,70,1,9.000,NA,9.0,9,9,1,42.000,NA,42.0,42,42,NA,NA,NA, NA ,NA,NA,2,30.000,29.698,30.0,9,51,34,64.912,22.615,68.0,8,100,28.852,4.058,29.0,54,20,42,0.000,5.037,1.115,5.0,54.000,2,7,4.796,0.998,5.0,54,2,7
19048-10722,19048,10722,58,0.000,Multiple,0.534,0.000,0.310,0.121,0.017,0.086,0.017,0.121,0.448,31,57.484,22.605,50.0,15,100,NA,NA,NA,NA,NA,NA,18,57.056,22.833,60.5,25,92,7,65.286,28.105,70.0,25,95,1,39.000,NA,39.0,39,39,5,57.200,22.399,54.0,25,79,1,65.000,NA, 65.0 ,65,65,7,51.143,22.880,60.0,22,75,26,49.500,16.912,50.0,25,83,32.276,5.167,32.0,58,22,45,0.017,5.207,1.308,5.0,58.000,1,7,5.103,1.071,5.0,58,3,7
19187-28,19187,28,50,0.071,Multiple,0.220,0.000,0.440,0.160,0.040,0.100,0.000,0.240,0.100,11,66.091,24.781,70.0,13,100,NA,NA,NA,NA,NA,NA,22,66.818,18.102,70.0,40,100,8,63.000,12.739,63.5,45,82,2,37.500,17.678,37.5,25,50,5,61.600,15.915,54.0,50,88,NA,NA,NA, NA ,NA,NA,12,68.250,21.537,67.0,29,100,5,36.800,37.466,20.0,5,100,24.980,4.401,25.0,50,18,40,0.020,4.900,1.182,5.0,50.000,2,7,5.800,0.782,6.0,50,4,7
19187-533,19187,533,55,0.222,Black,0.582,0.000,0.127,0.073,0.000,0.109,0.036,0.382,0.073,32,67.625,20.916,70.0,19,100,NA,NA,NA,NA,NA,NA,7,55.714,13.949,55.0,40,80,4,65.750,17.538,61.0,51,90,NA,NA,NA,NA,NA,NA,6,67.833,21.646,68.5,29,90,2,45.500,7.778, 45.5 ,40,51,21,68.524,15.820,70.0,39,100,4,32.500,17.078,35.0,10,50,25.618,3.923,25.0,55,19,39,0.000,4.745,1.280,5.0,55.000,1,7,5.764,1.036,6.0,55,2,7
19187-2320,19187,2320,55,0.059,Hispanic,0.018,0.073,0.582,0.182,0.055,0.055,0.055,0.036,0.418,1,92.000,NA,92.0,92,92,4,39.000,29.439,34.0,13,75,32,67.000,18.921,65.0,29,100,10,58.800,22.345,57.0,20,96,3,39.667,27.592,29.0,19,71,3,88.000,11.533,92.0,75,97,3,55.333,17.616, 50.0 ,41,75,2,58.500,23.335,58.5,42,75,23,56.826,19.154,56.0,7,90,21.691,3.260,21.0,55,17,30,0.018,5.145,1.253,5.0,55.000,1,7,6.073,0.997,6.0,55,2,7
19187-2393,19187,2393,52,0.235,Multiple,0.058,0.019,0.173,0.462,0.019,0.077,0.000,0.327,0.115,3,60.333,20.502,60.0,40,81,1,59.000,NA,59.0,59,59,9,72.889,15.219,71.0,45,100,24,66.417,21.044,70.5,10,93,1,70.000,NA,70.0,70,70,4,47.500,28.769,54.0,10,72,NA,NA,NA, NA ,NA,NA,17,67.588,26.327,70.0,18,100,6,55.333,25.657,55.5,30,100,24.885,3.393,25.0,52,18,35,0.000,4.654,1.046,5.0,52.000,2,7,5.692,1.001,6.0,52,3,7
19187-2933,19187,2933,53,0.125,Hispanic,0.057,0.000,0.509,0.245,0.019,0.094,0.075,0.075,0.340,3,34.000,19.698,40.0,12,50,NA,NA,NA,NA,NA,NA,27,64.111,20.070,61.0,28,100,13,60.077,21.998,55.0,11,90,1,50.000,NA,50.0,50,50,5,66.600,13.221,63.0,50,82,4,45.250,16.661, 50.5 ,21,59,4,56.500,8.963,53.5,50,69,18,53.278,20.656,52.5,18,100,23.943,3.860,24.0,53,16,38,0.019,4.792,1.081,5.0,53.000,1,7,5.849,0.864,6.0,53,4,7
19187-2947,19187,2947,49,0.143,Hispanic,0.224,0.000,0.551,0.143,0.020,0.184,0.041,0.102,0.204,11,54.727,20.426,49.0,20,100,NA,NA,NA,NA,NA,NA,27,70.407,15.542,71.0,30,97,7,69.429,7.955,70.0,55,77,1,60.000,NA,60.0,60,60,9,66.667,22.705,80.0,25,90,2,67.500,12.021, 67.5 ,59,76,5,49.000,16.971,55.0,29,71,10,45.900,17.104,39.5,30,85,25.143,4.397,25.0,49,17,40,0.000,4.878,1.394,5.0,49.000,1,7,5.857,0.764,6.0,49,4,7
19187-3389,19187,3389,54,0.125,White,0.074,0.000,0.000,0.019,0.019,0.000,0.000,0.000,0.963,4,26.250,18.264,22.5,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50.000,NA,50.0,50,50,1,53.000,NA,53.0,53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,52,92.962,11.109,100.0,50,100,23.648,3.269,24.0,54,17,30,0.019,5.093,1.263,5.0,54.000,2,7,6.074,0.843,6.0,54,4,7
19187-3615,19187,3615,51,0.333,White,0.020,0.000,0.196,0.020,0.039,0.000,0.000,0.020,0.922,1,30.000,NA,30.0,30,30,NA,NA,NA,NA,NA,NA,10,46.500,10.824,49.0,24,61,1,40.000,NA,40.0,40,40,2,34.000,8.485,34.0,28,40,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,1,30.000,NA,30.0,30,30,47,82.149,17.478,88.0,38,100,25.157,3.962,25.0,51,15,35,0.020,4.863,1.442,5.0,51.000,1,7,5.882,0.840,6.0,51,4,7
19435-44,19435,44,52,0.250,White,0.038,0.000,0.058,0.058,0.000,0.000,0.000,0.000,0.962,2,17.000,7.071,17.0,12,22,NA,NA,NA,NA,NA,NA,3,55.667,15.044,57.0,40,70,3,37.333,14.844,41.0,21,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,50,82.600,17.961,87.0,19,100,26.558,4.956,26.0,52,17,42,0.019,4.558,1.195,5.0,52.000,1,7,5.654,0.988,6.0,52,3,7
19435-56,19435,56,56,0.200,Multiple,0.018,0.143,0.411,0.018,0.018,0.161,0.143,0.018,0.482,1,50.000,NA,50.0,50,50,8,44.125,21.411,44.5,14,84,23,66.435,20.063,70.0,30,100,1,54.000,NA,54.0,54,54,1,55.000,NA,55.0,55,55,9,66.667,20.384,65.0,42,100,8,57.625,20.248, 50.0 ,39,94,1,53.000,NA,53.0,53,53,27,58.111,25.171,54.0,6,100,31.607,5.996,30.0,56,21,48,0.000,4.411,1.233,4.0,56.000,1,7,5.571,0.806,6.0,56,4,7
19435-372,19435,372,51,0.125,Multiple,0.059,0.000,0.431,0.392,0.020,0.098,0.078,0.275,0.059,3,27.667,8.083,29.0,19,35,NA,NA,NA,NA,NA,NA,22,70.045,17.762,72.0,40,100,20,64.100,16.460,66.5,41,100,1,20.000,NA,20.0,20,20,5,67.200,23.721,69.0,37,90,4,63.000,16.207, 65.0 ,42,80,14,54.643,15.300,52.0,30,82,3,40.333,11.930,44.0,27,50,32.922,6.187,34.0,51,20,47,0.000,4.412,1.486,4.0,51.000,1,7,5.569,0.900,6.0,51,3,7
19435-533,19435,533,54,0.294,Multiple,0.389,0.000,0.130,0.185,0.056,0.204,0.019,0.352,0.074,21,63.429,24.209,68.0,10,100,NA,NA,NA,NA,NA,NA,7,52.286,28.371,59.0,5,90,10,61.000,24.518,59.5,25,100,3,52.333,14.295,49.0,40,68,11,71.182,15.052,80.0,50,91,1,68.000,NA, 68.0 ,68,68,19,69.579,20.054,69.0,35,100,4,36.250,12.500,37.5,20,50,31.204,5.030,31.0,54,21,40,0.056,4.741,1.376,5.0,54.000,1,7,5.741,0.894,6.0,54,3,7
19933-30,19933,30,52,0.176,White,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,52,97.019,5.392,100.0,77,100,27.885,4.545,27.0,52,19,42,0.981,5.250,1.186,5.0,52.000,1,7,5.962,0.907,6.0,52,3,7
19933-75,19933,75,52,0.235,Multiple,0.135,0.000,0.250,0.231,0.077,0.135,0.019,0.423,0.115,7,55.286,26.152,50.0,30,95,NA,NA,NA,NA,NA,NA,13,64.769,23.728,76.0,28,95,12,66.917,21.998,68.0,17,92,4,58.500,26.715,55.5,33,90,7,63.000,24.752,62.0,25,100,1,70.000,NA, 70.0 ,70,70,22,69.227,22.477,74.0,17,98,6,59.000,15.218,54.5,45,87,33.673,5.940,34.5,52,22,47,0.981,5.096,1.257,5.0,52.000,3,7,6.019,0.980,6.0,52,3,7
19933-162,19933,162,54,0.063,Multiple,0.000,0.037,0.481,0.056,0.148,0.167,0.093,0.000,0.370,NA,NA,NA,NA,NA,NA,2,36.000,8.485,36.0,30,42,26,65.000,16.707,68.0,20,87,3,57.667,20.599,60.0,36,77,8,62.875,15.986,56.5,45,84,9,61.111,19.069,65.0,33,86,5,52.600,10.359, 51.0 ,42,68,NA,NA,NA,NA,NA,NA,20,62.550,19.297,63.0,20,98,31.704,5.632,31.0,54,20,42,1.000,4.981,1.000,5.0,54.000,3,7,5.593,0.942,6.0,54,3,7
19933-533,19933,533,54,0.118,Multiple,0.444,0.000,0.111,0.074,0.037,0.074,0.056,0.407,0.074,24,65.042,22.141,65.0,18,100,NA,NA,NA,NA,NA,NA,6,60.833,25.980,61.5,25,100,4,66.000,27.821,69.5,35,90,2,52.000,28.284,52.0,32,72,4,59.500,8.660,58.5,51,70,3,79.333,19.218, 76.0 ,62,100,22,65.455,23.431,66.0,20,100,4,51.000,15.556,45.5,40,73,31.185,5.927,30.0,54,20,45,1.000,5.593,0.901,6.0,54.000,3,7,6.111,0.718,6.0,54,5,7
19933-3876,19933,3876,50,0.250,Black,0.560,0.000,0.220,0.120,0.040,0.100,0.020,0.180,0.180,28,67.143,21.032,67.0,19,100,NA,NA,NA,NA,NA,NA,11,76.091,25.046,85.0,24,100,6,49.167,28.646,47.5,11,88,2,17.000,9.899,17.0,10,24,5,70.400,22.634,70.0,43,100,1,42.000,NA, 42.0 ,42,42,9,74.000,20.736,80.0,41,100,9,37.222,15.990,42.0,10,57,32.560,4.473,32.0,50,20,42,1.000,5.240,1.271,5.0,50.000,1,7,5.640,1.083,6.0,50,3,7
19933-10813,19933,10813,56,0.059,White,0.018,0.000,0.179,0.071,0.036,0.018,0.000,0.000,0.839,1,10.000,NA,10.0,10,10,NA,NA,NA,NA,NA,NA,10,57.300,25.889,61.0,20,100,4,43.250,19.551,40.0,23,70,2,80.000,0.000,80.0,80,80,1,40.000,NA,40.0,40,40,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,47,83.894,16.134,88.0,49,100,31.518,5.477,31.0,56,19,45,0.964,5.161,1.092,5.0,56.000,2,7,5.804,0.942,6.0,56,3,7
20496-28,20496,28,52,0.200,Multiple,0.173,0.000,0.250,0.481,0.038,0.115,0.038,0.096,0.269,9,51.889,19.400,50.0,29,93,NA,NA,NA,NA,NA,NA,13,62.308,18.145,60.0,36,100,25,64.120,18.693,61.0,31,100,2,28.000,31.113,28.0,6,50,6,39.833,16.167,45.5,13,56,2,24.500,9.192, 24.5 ,18,31,5,66.000,9.301,70.0,50,73,14,49.857,17.051,52.0,15,77,33.288,5.184,33.0,52,25,45,0.000,4.500,1.590,5.0,52.000,1,7,5.635,1.010,6.0,52,3,7
20496-533,20496,533,52,0.167,Black,0.596,0.000,0.115,0.308,0.000,0.019,0.019,0.212,0.000,31,72.097,16.758,75.0,26,100,NA,NA,NA,NA,NA,NA,6,54.500,21.069,52.0,30,91,16,51.188,24.048,56.0,14,100,NA,NA,NA,NA,NA,NA,1,70.000,NA,70.0,70,70,1,71.000,NA, 71.0 ,71,71,11,63.091,22.841,70.0,26,100,NA,NA,NA,NA,NA,NA,31.942,4.783,31.0,52,21,43,0.019,5.000,1.172,5.0,52.000,2,7,5.558,0.978,5.5,52,3,7
20496-576,20496,576,50,0.133,White,0.000,0.000,0.220,0.240,0.000,0.000,0.000,0.020,0.780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,41.000,21.420,42.0,10,75,12,56.917,25.018,60.0,10,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,1,86.000,NA,86.0,86,86,39,80.333,17.207,83.0,25,100,32.260,5.703,32.0,50,23,55,0.000,4.540,1.147,5.0,50.000,1,7,5.380,0.805,5.0,50,3,7
20837-2007,20837,2007,51,0.133,Asian,0.020,0.255,0.137,0.020,0.020,0.118,0.353,0.039,0.490,1,22.000,NA,22.0,22,22,13,53.231,18.678,50.0,25,82,7,72.286,20.180,80.0,42,100,1,74.000,NA,74.0,74,74,1,15.000,NA,15.0,15,15,6,50.667,19.449,54.0,20,75,18,64.556,17.721, 65.5 ,33,100,2,44.500,9.192,44.5,38,51,25,56.600,25.087,50.0,20,100,25.706,3.780,26.0,51,18,33,1.000,5.686,0.948,6.0,51.000,3,7,3.353,0.934,3.0,51,1,6
20837-2486,20837,2486,53,0.188,Asian,0.000,0.377,0.019,0.019,0.094,0.189,0.547,0.075,0.057,NA,NA,NA,NA,NA,NA,20,63.100,20.853,61.0,19,96,1,37.000,NA,37.0,37,37,1,51.000,NA,51.0,51,51,5,59.800,26.081,60.0,20,91,10,59.900,23.192,62.5,23,91,29,73.724,19.092, 72.0 ,20,100,4,53.000,18.239,56.0,30,70,3,40.000,18.248,31.0,28,61,25.943,4.139,26.0,53,18,45,1.000,5.434,1.201,6.0,53.000,2,7,3.113,1.103,3.0,53,1,6
20837-2617,20837,2617,54,0.067,Black,0.574,0.037,0.148,0.037,0.056,0.241,0.204,0.148,0.093,31,59.097,24.907,64.0,12,100,2,33.000,4.243,33.0,30,36,8,43.000,11.539,43.5,25,60,2,57.500,10.607,57.5,50,65,3,49.000,38.039,51.0,10,86,13,61.231,21.100,62.0,15,85,11,60.000,14.491, 60.0 ,40,82,8,57.250,17.153,62.5,20,71,5,38.000,17.889,50.0,10,50,26.222,3.638,26.0,54,19,35,0.981,5.981,0.961,6.0,54.000,3,7,3.037,1.213,3.0,54,1,6
20837-3928,20837,3928,52,0.333,White,0.115,0.115,0.096,0.058,0.019,0.096,0.096,0.000,0.846,6,41.667,13.155,44.5,20,54,6,29.000,12.247,30.0,14,50,5,52.200,20.837,60.0,20,73,3,53.000,15.395,49.0,40,70,1,40.000,NA,40.0,40,40,5,48.600,26.321,50.0,10,84,5,32.600,18.743, 25.0 ,13,55,NA,NA,NA,NA,NA,NA,44,68.545,18.887,70.5,34,100,24.538,4.142,25.0,52,18,36,1.000,5.673,1.184,6.0,52.000,2,7,3.077,1.082,3.0,52,1,6
21036-533,21036,533,51,0.308,Black,0.863,0.000,0.118,0.157,0.020,0.020,0.020,0.196,0.039,44,73.636,20.828,74.5,25,100,NA,NA,NA,NA,NA,NA,6,42.667,25.508,40.0,18,82,8,65.375,21.118,61.5,40,100,1,35.000,NA,35.0,35,35,1,32.000,NA,32.0,32,32,1,60.000,NA, 60.0 ,60,60,10,61.500,19.271,63.0,20,87,2,8.000,4.243,8.0,5,11,35.176,4.710,35.0,51,25,45,0.000,4.804,1.233,5.0,51.000,1,7,4.725,1.078,5.0,51,2,7
21036-1003,21036,1003,54,0.063,White,0.000,0.000,0.037,0.056,0.000,0.000,0.019,0.000,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,76.500,6.364,76.5,72,81,3,54.000,15.100,52.0,40,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,60.000,NA, 60.0 ,60,60,NA,NA,NA,NA,NA,NA,51,89.588,14.025,94.0,30,100,33.315,4.433,33.5,54,25,45,0.000,4.389,1.323,5.0,54.000,1,7,4.852,0.920,5.0,54,2,7
21036-3876,21036,3876,52,0.067,Black,0.731,0.000,0.135,0.173,0.000,0.038,0.019,0.173,0.135,38,70.211,19.639,70.0,20,100,NA,NA,NA,NA,NA,NA,7,52.714,25.985,47.0,25,90,9,59.444,16.682,65.0,25,80,NA,NA,NA,NA,NA,NA,2,40.000,19.799,40.0,26,54,1,25.000,NA, 25.0 ,25,25,9,52.667,30.369,59.0,10,100,7,41.571,25.999,35.0,14,96,34.212,4.595,35.0,52,25,44,0.000,4.769,1.463,5.0,52.000,1,7,4.500,1.076,5.0,52,1,7
21036-10830,21036,10830,54,0.235,Hispanic,0.019,0.019,0.648,0.278,0.037,0.074,0.000,0.074,0.074,1,50.000,NA,50.0,50,50,1,20.000,NA,20.0,20,20,35,65.429,20.022,62.0,22,100,15,58.267,25.558,63.0,9,94,2,65.500,34.648,65.5,41,90,4,56.750,27.097,64.5,18,80,NA,NA,NA, NA ,NA,NA,4,51.750,14.198,48.5,40,70,4,48.250,27.621,38.0,29,88,34.130,5.313,34.5,54,24,46,0.000,4.796,1.035,5.0,54.000,2,7,4.722,0.811,5.0,54,3,7
21950-28,21950,28,56,0.056,Hispanic,0.107,0.000,0.571,0.179,0.089,0.071,0.000,0.161,0.196,6,33.000,8.367,30.0,28,50,NA,NA,NA,NA,NA,NA,32,65.906,19.739,67.5,32,100,10,58.300,23.740,55.0,13,100,5,53.400,17.981,61.0,30,72,4,67.250,13.937,64.5,54,86,NA,NA,NA, NA ,NA,NA,9,67.111,16.128,70.0,40,90,11,47.091,17.964,50.0,25,79,36.714,5.552,36.5,56,24,47,0.982,5.143,1.299,5.0,56.000,1,7,6.179,0.917,6.0,56,3,7
21950-2486,21950,2486,51,0.188,Hispanic,0.020,0.078,0.529,0.157,0.020,0.137,0.137,0.078,0.196,1,15.000,NA,15.0,15,15,4,51.500,25.278,50.0,26,80,27,66.556,20.629,70.0,28,100,8,44.750,27.228,44.5,12,85,1,23.000,NA,23.0,23,23,7,46.000,20.599,44.0,9,72,7,56.857,25.887, 55.0 ,30,100,4,82.750,18.246,86.5,58,100,10,52.300,14.166,51.0,32,75,38.627,6.928,39.0,51,24,52,1.000,4.765,1.159,5.0,51.000,2,7,6.137,0.849,6.0,51,3,7
21950-2919,21950,2919,52,0.125,White,0.000,0.000,0.154,0.019,0.019,0.000,0.019,0.000,0.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,40.625,23.476,31.5,20,76,1,45.000,NA,45.0,45,45,1,90.000,NA,90.0,90,90,NA,NA,NA,NA,NA,NA,1,40.000,NA, 40.0 ,40,40,NA,NA,NA,NA,NA,NA,51,84.804,17.899,90.0,20,100,37.596,5.672,36.0,52,24,50,1.000,5.327,1.115,5.5,52.000,1,7,6.327,0.617,6.0,52,5,7
21950-3876,21950,3876,52,0.125,Black,0.788,0.000,0.250,0.058,0.000,0.038,0.000,0.038,0.115,41,72.000,20.100,76.0,33,100,NA,NA,NA,NA,NA,NA,13,62.538,24.487,63.0,18,100,3,53.000,41.328,59.0,9,91,NA,NA,NA,NA,NA,NA,2,72.500,3.536,72.5,70,75,NA,NA,NA, NA ,NA,NA,2,31.500,2.121,31.5,30,33,6,29.833,19.104,33.0,7,57,39.731,5.868,40.0,52,25,55,1.000,4.942,1.074,5.0,52.000,2,7,6.192,0.742,6.0,52,4,7
22731-44,22731,44,54,0.176,White,0.000,0.000,0.093,0.019,0.019,0.000,0.000,0.000,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,38.600,36.288,30.0,10,100,1,48.000,NA,48.0,48,48,1,33.000,NA,33.0,33,33,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,50,89.480,11.553,92.5,61,100,27.926,3.909,27.0,54,20,38,0.000,4.389,1.547,5.0,54.000,1,7,5.852,0.878,6.0,54,4,7
22731-489,22731,489,51,0.143,Black,0.824,0.000,0.176,0.216,0.000,0.020,0.020,0.059,0.235,42,70.214,23.316,75.0,23,100,NA,NA,NA,NA,NA,NA,9,45.556,20.598,40.0,25,92,11,56.000,25.507,65.0,20,95,NA,NA,NA,NA,NA,NA,1,30.000,NA,30.0,30,30,1,20.000,NA, 20.0 ,20,20,3,54.333,29.535,56.0,24,83,12,41.250,17.263,43.0,10,77,31.333,5.066,32.0,51,20,42,0.000,5.020,1.449,5.0,51.000,1,7,5.667,0.816,6.0,51,3,7
22731-3167,22731,3167,55,0.063,White,0.127,0.000,0.491,0.055,0.073,0.055,0.000,0.018,0.636,7,46.143,18.542,50.0,15,70,NA,NA,NA,NA,NA,NA,27,63.222,20.833,61.0,17,100,3,26.667,24.583,14.0,11,55,4,65.750,22.662,68.0,36,91,3,64.000,4.359,62.0,61,69,NA,NA,NA, NA ,NA,NA,1,11.000,NA,11.0,11,11,35,64.971,23.800,65.0,10,100,32.200,5.013,32.0,55,22,47,0.018,4.745,1.456,5.0,55.000,1,7,5.891,0.936,6.0,55,3,7
22913-27,22913,27,52,0.118,White,0.000,0.000,0.096,0.019,0.000,0.000,0.000,0.000,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,56.200,28.857,55.0,23,100,1,30.000,NA,30.0,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, NA ,NA,NA,NA,NA,NA,NA,NA,NA,50,88.360,17.259,96.5,23,100,29.712,3.957,30.0,52,21,40,0.000,5.269,1.069,5.0,52.000,3,7,6.192,0.768,6.0,52,4,7
22913-28,22913,28,53,0.250,Multiple,0.151,0.000,0.358,0.396,0.000,0.075,0.038,0.208,0.132,8,61.750,23.162,54.0,36,100,NA,NA,NA,NA,NA,NA,19,73.579,15.108,70.0,45,100,21,65.095,20.077,70.0,10,90,NA,NA,NA,NA,NA,NA,4,60.500,12.234,59.5,50,73,2,28.500,7.778, 28.5 ,23,34,11,69.273,23.967,74.0,20,100,7,52.429,21.786,50.0,30,92,30.415,5.992,30.0,53,20,50,0.019,5.226,1.296,5.0,53.000,1,7,5.981,0.720,6.0,53,4,7
22913-533,22913,533,54,0.000,Multiple,0.463,0.019,0.185,0.278,0.000,0.019,0.000,0.444,0.019,25,62.440,20.094,57.0,30,100,1,67.000,NA,67.0,67,67,10,53.100,12.574,52.0,36,77,15,59.133,21.980,53.0,29,100,NA,NA,NA,NA,NA,NA,1,83.000,NA,83.0,83,83,NA,NA,NA, NA ,NA,NA,24,68.292,24.629,70.5,7,100,1,38.000,NA,38.0,38,38,30.963,5.373,30.0,54,20,42,0.000,5.204,1.379,5.0,54.000,1,7,6.037,0.971,6.0,54,4,7
22913-3112,22913,3112,56,0.167,Multiple,0.054,0.018,0.232,0.375,0.000,0.018,0.036,0.411,0.107,3,46.667,5.774,50.0,40,50,1,70.000,NA,70.0,70,70,13,58.846,15.588,60.0,34,84,21,68.095,18.574,67.0,40,100,NA,NA,NA,NA,NA,NA,1,100.000,NA,100.0,100,100,2,72.500,14.849, 72.5 ,62,83,23,68.000,15.960,71.0,20,90,6,47.500,14.363,45.0,32,70,28.411,4.504,28.0,56,19,42,0.000,5.214,1.246,5.0,56.000,1,7,6.089,0.793,6.0,56,4,7
22913-4095,22913,4095,51,0.125,Multiple,0.078,0.000,0.353,0.294,0.039,0.098,0.000,0.020,0.431,4,53.750,21.360,60.0,25,70,NA,NA,NA,NA,NA,NA,18,63.944,27.548,64.0,10,100,15,61.600,18.969,62.0,30,97,2,33.000,9.899,33.0,26,40,5,70.400,22.909,73.0,35,99,NA,NA,NA, NA ,NA,NA,1,51.000,NA,51.0,51,51,22,64.727,23.253,70.0,20,100,29.569,4.666,30.0,51,20,42,0.000,5.255,1.214,5.0,51.000,1,7,6.176,0.713,6.0,51,4,7
